路線,票種,去返程,上車日期,上車時間,上車分鐘,上車站名,下車日期,下車時間,下車分鐘,下車站名,星期,乘坐分鐘
308,一般票,返程,2022/8/31,18:23,1103,七星潭,2022/8/31,19:11,1151,台灣企銀,1,48
308,一般票,返程,2022/8/31,18:51,1131,翰品酒店,2022/8/31,19:25,1165,花蓮火車站,1,34
308,一般票,去程,2022/9/1,07:25,445,花蓮火車站,2022/9/1,07:49,469,花蓮女中,1,24
308,一般票,去程,2022/9/1,07:26,446,花蓮火車站,2022/9/1,07:37,457,花蓮商校,1,11
308,一般票,去程,2022/9/2,07:21,441,花蓮火車站,2022/9/2,07:37,457,花蓮商校,1,16
308,一般票,返程,2022/9/2,18:46,1126,福容大飯店,2022/9/2,19:01,1141,東大門夜市,1,15
308,一般票,去程,2022/9/4,16:59,1019,花蓮火車站,2022/9/4,17:14,1034,東大門夜市,0,15
308,一般票,去程,2022/9/5,07:28,448,花蓮火車站,2022/9/5,07:48,468,花蓮女中,1,20
308,一般票,去程,2022/9/5,07:28,448,花蓮火車站,2022/9/5,07:37,457,花蓮商校,1,9
308,一般票,去程,2022/9/5,07:28,448,花蓮火車站,2022/9/5,07:40,460,大同市場,1,12
308,一般票,去程,2022/9/6,07:26,446,花蓮火車站,2022/9/6,07:48,468,花蓮女中,1,22
308,一般票,去程,2022/9/6,07:27,447,花蓮火車站,2022/9/6,07:37,457,花蓮商校,1,10
308,一般票,去程,2022/9/7,07:27,447,花蓮火車站,2022/9/7,07:47,467,花蓮女中,1,20
308,一般票,去程,2022/9/8,07:22,442,花蓮火車站,2022/9/8,07:45,465,花蓮女中,1,23
308,一般票,返程,2022/9/8,08:52,532,麗軒國際飯店,2022/9/8,09:03,543,東大門夜市,1,11
308,一般票,返程,2022/9/8,18:21,1101,七星潭,2022/9/8,18:50,1130,美崙浸信會,1,29
308,一般票,返程,2022/9/8,19:11,1151,東大門夜市,2022/9/8,19:25,1165,花蓮電影城,1,14
308,一般票,去程,2022/9/12,07:24,444,花蓮火車站,2022/9/12,07:46,466,花蓮女中,1,22
308,一般票,去程,2022/9/12,07:25,445,花蓮火車站,2022/9/12,07:37,457,花蓮商校,1,12
308,一般票,去程,2022/9/13,07:25,445,花蓮電影城,2022/9/13,07:37,457,花蓮商校,1,12
308,一般票,去程,2022/9/13,07:25,445,花蓮電影城,2022/9/13,07:46,466,花蓮女中,1,21
308,一般票,去程,2022/9/14,07:26,446,花蓮火車站,2022/9/14,07:49,469,花蓮女中,1,23
308,一般票,去程,2022/9/15,07:25,445,花蓮火車站,2022/9/15,07:37,457,花蓮商校,1,12
308,一般票,去程,2022/9/15,07:26,446,花蓮火車站,2022/9/15,07:49,469,花蓮女中,1,23
308,一般票,返程,2022/9/16,19:04,1144,東大門夜市,2022/9/16,19:18,1158,花蓮火車站,1,14
308,一般票,去程,2022/9/16,07:25,445,花蓮火車站,2022/9/16,07:48,468,花蓮女中,1,23
308,一般票,返程,2022/9/20,19:08,1148,台灣企銀,2022/9/20,19:18,1158,花蓮火車站,1,10
308,一般票,返程,2022/9/25,08:23,503,七星潭,2022/9/25,09:10,550,花蓮火車站,0,47
