縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
宜蘭縣,IV-40,東澳,120,0,E121.85761,N24.59431,台9線,東澳,南澳,120,0,130,500,丘陵區,10.5,13.4,南,4,,,,,-,,2.7,2630,99,139,0,264,347,3479,4838,36529.5,715,15,16,0.52,
宜蘭縣,IV-41,南澳,130,500,E121.80568,N24.46699,台9線,南澳,谷風,130,500,152,800,丘陵區,22.3,8,北,3.5,,,,,　,,0.5,2040,131,171,0,351,92,2785,4747,62105.5,819,10,11,0.51,
宜蘭縣,IV-41,南澳,130,500,E121.80568,N24.46699,台9線,南澳,谷風,130,500,152,800,丘陵區,22.3,8,南,3.5,,,,,　,,0.5,2206,64,157,1,297,173,2898,4446,64625.4,819,10,11,0.51,
宜蘭縣,IV-42,和中,162,500,E121.74062,N24.26842,台9線,谷風,清水,152,800,167,100,丘陵區,14.3,9,北,3.5,,,,,　,,0.5,2458,98,255,0,262,304,3377,4979,48291.1,1109,10,11,0.52,
宜蘭縣,IV-42,和中,162,500,E121.74062,N24.26842,台9線,谷風,清水,152,800,167,100,丘陵區,14.3,9,南,3.5,,,,,　,,1.5,2346,60,260,0,234,232,3132,4592,44787.6,1109,10,11,0.52,
花蓮縣,IV-43,新田橋,183,800,E121.64306,N24.13222,台9線,太魯閣大橋,新田橋,181,266,183,800,山嶺區,2.5,22.2,北,3.6,"4,0",,,,3,,0.5,3857,232,102,2,142,1294,5629,9758,14072.5,901,12,13,0.51,
花蓮縣,IV-43,新田橋,183,800,E121.64306,N24.13222,台9線,太魯閣大橋,新田橋,181,266,183,800,山嶺區,2.5,22.2,南,3.6,"4,0",,,,3,,0.5,3904,281,113,0,91,1499,5888,9962,14720,994,12,13,0.51,
花蓮縣,IV-44,懷恩橋,189,130,E121.61600,N24.10219,台9線,新田橋,懷恩橋,183,800,189,130,平原區,5.3,26.2,北,3.5,3.7,,,,2.1,,3.8,4521,274,147,2,196,804,5944,6100,31503.2,1016,17,18,0.52,
花蓮縣,IV-44,懷恩橋,189,130,E121.61600,N24.10219,台9線,新田橋,懷恩橋,183,800,189,130,平原區,5.3,26.2,南,3.5,3.7,,,,2.1,,3.8,4087,250,132,0,148,831,5448,5595,28874.4,492,10,11,0.52,
花蓮縣,IV-45,海星中學,200,200,E121.61366,N24.00712,台9線,懷恩橋,海星中學,189,130,200,900,平原區,2.2,22.4,北,3.5,3.5,,,,2.2,,2,9801,220,136,0,400,2079,12636,12990,27799.2,1114,7,8,0.52,
花蓮縣,IV-45,海星中學,200,200,E121.61366,N24.00712,台9線,懷恩橋,海星中學,189,130,200,900,平原區,2.2,22.4,南,3.5,3.5,,,,2.2,,2,11022,275,150,0,364,2070,13881,14201,30538.2,1356,17,18,0.52,
花蓮縣,IV-46,中正橋,204,330,E121.61264,N23.98064,台9線,海星中學,中正橋,200,900,204,330,平原區,3.4,20,北,3.6,3.6,,,,2.8,,-,9075,154,59,0,25,5738,15051,1635,27137.7,1400,18,19,0.57,
花蓮縣,IV-46,中正橋,204,330,E121.61264,N23.98064,台9線,海星中學,中正橋,200,900,204,330,平原區,3.4,20,南,3.6,3.6,,,,2.8,,-,12225,107,53,0,0,7225,19610,1517,25581.6,1542,12,13,0.57,
花蓮縣,IV-47,仁里橋,206,500,E121.59425,N23.98064,台9線,中正橋, 仁里橋  ,204,330,206,500,平原區,2.2,20.4,北,3.6,,,,,2.6,,4,4888,46,44,0,2,5157,10137,1329,18048.2,1120,12,13,0.53,
花蓮縣,IV-47,仁里橋,206,500,E121.59425,N23.98064,台9線,中正橋, 仁里橋  ,204,330,206,500,平原區,2.2,20.4,南,3.6,,,,,2.6,,4,4343,39,46,0,4,4455,8887,1508,19965.2,1120,12,13,0.53,
花蓮縣,IV-48,壽豐 ,219,800,E121.52123,N23.88208,台9線,仁里橋,壽豐,206,500,219,700,平原區,13.2,21.2,北,3.3,3.3,,,,2,,2,6291,108,515,0,55,1548,8517,1654,19708,819,17,18,0.51,
花蓮縣,IV-48,壽豐 ,219,800,E121.52123,N23.88208,台9線,仁里橋,壽豐,206,500,219,700,平原區,13.2,21.2,南,3.3,3.3,,,,2,,2,6719,113,501,0,41,1663,9037,1913,22399,804,17,18,0.51,
花蓮縣,IV-49,溪口 ,229,0,E121.47025,N23.81516,台9線,壽豐,溪口,219,700,229,0,平原區,9.3,19.4,北,3.3,3.3,,,,2,,0.5,5422,121,134,0,263,646,6586,1286,4496,554,17,18,0.57,
