縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,,
屏東縣,Ⅲ-16,楓港加油站,460,200,120.6883537,22.20194589,台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,南,3.5,3.5,,,,2.0,,1.9,5812,130,110,0,62,625,6739,6796,46499,1081,11,12,0.56 ,,,,
高雄市,Ⅲ-17,鳳山,4,400,120.3509835,22.62742102,台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,16,北,3.4,3.5,,,,,,1.0,6864,82,63,0,0,12990,19999,14876,65997,1235,17,18,0.53 ,,,,
高雄市,Ⅲ-17,鳳山,4,400,120.3509835,22.62742102,台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,16,南,3.4,3.5,,,,,,1.0,5206,96,55,0,0,12216,17573,12763,57991,1098,17,18,0.53 ,,,,
高雄市,Ⅲ-18,前庄,8,100,120.3842866,22.63057316,台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,北,3.5,3.5,,,,2.2,,2.0,10925,53,219,0,142,8659,19998,17821,39996,1892,17,18,0.54 ,,,,
高雄市,Ⅲ-18,前庄,8,100,120.3842866,22.63057316,台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,南,3.5,3.5,,,,2.2,,1.8,10207,58,243,0,139,9680,20327,17852,40654,2245,7,8,0.54 ,,,,
高雄市,Ⅲ-19,火燒庄,393,100,120.4672411,22.96941529,台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,北,3.5,3.5,,,,,,0.7,1286,15,67,0,53,590,2011,2069,13474,218,10,11,0.59 ,,,,
高雄市,Ⅲ-19,火燒庄,393,100,120.4672411,22.96941529,台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,南,3.5,3.5,,,,,,0.7,1329,15,54,0,17,508,1923,1857,12884,315,15,16,0.59 ,,,,
高雄市,Ⅲ-20,嶺頂,405,400,120.4856109,22.88613894,台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,北,3.5,3.5,,,,,,2.0,6809,71,117,0,164,2197,9358,9323,91708,826,7,8,0.54 ,,,,
高雄市,Ⅲ-20,嶺頂,405,400,120.4856109,22.88613894,台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,南,3.5,3.5,,,,,,2.0,7135,83,107,0,78,2374,9777,9329,95815,969,15,16,0.54 ,,,,
高雄市,Ⅲ-21,旗南橋,406,750,120.4868907,22.87478435,台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.2,北,3.7,3.6,,,,2,,2.3,6681,39,138,0,123,1485,8466,8356,56722,852,17,18,0.54 ,,,,
