縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
屏東縣,Ⅲ-14,水底寮,437,0,"E120'35'44.8""","N22'22'58.8""",台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,南,3.5,3.5,3.7,,,0,,0.9,"12,947",430,529,1,247,"2,865","17,019","16,849","18,721","1,858",10,11,0.51,0,0,
屏東縣,Ⅲ-15,博愛橋,438,300,"E120'36'9.0""","N22'22'24.1""",台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,北,3.5,3.5,,,,2.5,,2,"10,548",262,365,3,286,"1,159","12,623","13,167","210,804","1,809",17,18,0.51,30,55,
屏東縣,Ⅲ-15,博愛橋,438,300,"E120'36'9.0""","N22'22'24.1""",台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,南,3.5,3.5,,,,2.2,,0.3,"10,186",276,346,1,241,"1,054","12,104","12,583","202,137","1,761",10,11,0.51,165,180,
屏東縣,Ⅲ-16,楓港加油站,460,200,"E120'41'18.0""","N22'12'7.0""",台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,北,3.5,3.5,,,,2,,3.1,"7,460",311,149,0,108,703,"8,731","8,967","60,244","1,409",15,16,0.5,8,23,
屏東縣,Ⅲ-16,楓港加油站,460,200,"E120'41'18.0""","N22'12'7.0""",台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,南,3.5,3.5,,,,2,,1.9,"7,336",300,182,0,85,668,"8,571","8,782","59,140","1,137",11,12,0.5,53,130,
高雄市,Ⅲ-17,鳳山,4,400,"E120'21'3.0""","N22'37'39.7""",台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,15.9,北,3.2,3.2,,,,0,,1.2,"7,284",103,87,0,0,"15,831","23,305","17,069","76,906","1,458",17,18,0.54,0,0,
高雄市,Ⅲ-17,鳳山,4,400,"E120'21'3.0""","N22'37'39.7""",台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,15.9,南,3.2,3.2,,,,0,,1.7,"5,911",147,65,0,0,"13,760","19,883","14,486","65,614","1,233",17,18,0.54,0,0,
高雄市,Ⅲ-18,前庄,8,100,"E120'23'2.6""","N22'37'49.8""",台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,北,3.5,3.5,,,,2.2,,2,"12,146",102,327,1,133,"10,945","23,654","20,854","47,308","2,116",17,18,0.5,0,0,
高雄市,Ⅲ-18,前庄,8,100,"E120'23'2.6""","N22'37'49.8""",台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,南,3.5,3.5,,,,2.2,,1.8,"11,961",82,331,2,124,"10,754","23,254","20,487","46,508","2,361",7,8,0.5,0,0,
高雄市,Ⅲ-19,火燒庄,393,600,"E120'28'2.0""","N22'58'9.6""",台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,北,3.5,3.5,,,,0,,0.7,"1,526",37,87,0,174,601,"2,425","3,005","16,247",337,11,12,0.52,0,0,
